School_Name,CPS_ID,Zip,Community_Area,State_Rep_District,State_Sen_District,Ward
A.N. Pritzker School,610229,60622,West Town,4,2,1
Wildwood ES,610230,60646,Forest Glen,15,8,41
National Teachers Elem. Acad.,610231,60616,Near South Side,6,3,3
Yates ES,610234,60647,Logan Square,4,2,35
Flagg Young ES,610235,60651,Austin,78,39,29
Beethoven ES,610237,60609,Grand Boulevard,5,3,3
Jacobs Bond ES,610238,60621,Englewood,32,16,17
Daley Elem. Acad.,610239,60609,New City,2,1,16
Brennemann ES,610242,60613,Uptown,12,6,46
M. Clark Academic Prep Magnet HS,610244,60644,Austin,8,4,24
Douglass Acad. HS,610245,60644,Austin,78,39,29
Beasley Elem. Magnet Academic Center,610246,60609,Washington Park,5,3,3
Chicago Acad. ES,610248,60634,Dunning,39,20,38
Talman ES,610249,60632,Gage Park,1,1,14
Salazar Elem. Bilingual Center,610250,60610,Near North Side,9,5,43
Cather ES,610251,60612,East Garfield Park,10,5,2
Dett ES,610252,60612,Near West Side,10,5,2
Dvorak Technology Acad.,610254,60623,North Lawndale,9,5,24
Robinson ES,610256,60653,Oakland,26,13,4
Morton School of Excellence,610257,60612,Humboldt Park,10,5,27
Dulles ES,610263,60637,Greater Grand Crossing,5,3,20
Ashe ES,610268,60619,Chatham,33,17,8
McCutcheon ES,610269,60640,Uptown,13,7,48
Jensen Elem. Scholastic Acad.,610271,60612,East Garfield Park,9,5,28
Johnson ES,610274,60623,North Lawndale,9,5,24
Mollison ES,610276,60653,Grand Boulevard,26,3,3
Tanner ES,610279,60619,Greater Grand Crossing,34,17,6
Paideia Community Acad. ES,610281,60649,South Shore,25,13,7
McNair ES,610282,60651,Austin,8,4,37
New Field ES,610284,60626,Rogers Park,14,7,49
Ashburn Community ES,610287,60652,Ashburn,31,16,18
Mays Elem. Acad.,610290,60621,Englewood,6,3,16
Lee ES,610291,60629,West Lawn,22,11,13
Melody ES,610293,60624,West Garfield Park,10,5,24
Higgins Elem. Community Acad.,610295,60643,West Pullman,27,14,34
School of Tech HS,610296,60620,Auburn Gresham,31,16,21
HS of Leadership at South Shore,610297,60649,South Shore,5,3,8
Lenart Elem. Regional Gifted Center,610298,60620,Chatham,34,17,21
Hinton ES,610299,60621,Englewood,32,16,6
Westcott ES,610300,60620,Chatham,31,16,21
Phoenix Mil. Acad. HS,610304,60612,Near West Side,10,5,2
Leland ES,610305,60644,Austin,8,4,29
Bowen HS,610307,60617,South Chicago,26,13,7
Rudolph Elem. Learning Center,610308,60612,Near West Side,10,5,27
Chicago Discovery HS,610309,60617,South Chicago,26,13,7
Entrepreneurship HS,610311,60644,Austin,8,4,28
McDowell ES,610312,60619,Calumet Heights,33,17,8
Diego Elem. Community Acad.,610313,60622,West Town,4,2,1
White Elem. Career Acad.,610315,60643,West Pullman,27,14,34
Earhart Options for Knowledge ES,610316,60617,Calumet Heights,33,17,8
Brighton Park ES,610317,60632,Brighton Park,21,11,12
Evergreen Acad. Middle School,610319,60609,Mckinley Park,2,1,11
Marshall Middle School,610321,60618,Irving Park,40,20,39
New Millennium HS of Health at Bowen,610323,60617,South Chicago,26,13,7
Logandale Middle School,610325,60618,Avondale,40,20,35
Orozco Fine Arts & Sciences ES,610329,60608,Lower West Side,2,1,25
Raby HS,610334,60624,East Garfield Park,10,5,28
Stagg ES,610339,60621,Englewood,31,16,17
Chicago Acad. HS,610340,60634,Dunning,39,20,38
Sabin Elem. Magnet School,610342,60622,West Town,4,2,1
Woodson South ES,610345,60653,Grand Boulevard,26,13,4
Claremont Acad. ES,610347,60636,Chicago Lawn,6,3,15
Black Magnet ES,610350,60617,Calumet Heights,33,17,8
Durkin Park ES,610352,60652,Ashburn,32,16,18
Calmeca Acad. of Fine Arts and Dual Lang.,610353,60632,Brighton Park,21,11,12
North River ES,610354,60625,Albany Park,40,20,33
Courtenay Elem. Language Arts Center,610355,60613,Lake View,11,6,47
Spry Community Links HS,610357,60623,South Lawndale,21,11,12
Evers ES,610362,60628,Washington Heights,27,14,21
Walt Disney Magnet ES,610363,60613,Uptown,12,6,46
Dubois ES,610364,60827,Riverdale,29,15,9
Wacker ES,610366,60643,Washington Heights,27,14,21
DePriest ES,610367,60644,Austin,8,4,29
Hughes ES,610368,60628,Roseland,28,14,34
Best Practice HS,610370,60612,Near West Side,10,5,2
IDOC/Healy HS,610371,60619,Chatham,33,17,8
Robeson Achvmt. Acad. HS,610374,60621,Englewood,32,16,6
Tilden Achvmt. Acad. HS,610375,60609,New City,6,3,11
Senn AA HS,610377,60660,Edgewater,14,7,48
Crane Achvmt. Acad. HS,610378,60612,Near West Side,9,5,2
Hale Williams Prep School of Medicine,610380,60615,Grand Boulevard,5,3,3
Bronzeville Scholastic Acad. HS,610381,60615,Grand Boulevard,5,3,3
Greater Lawndale HS For Social Justice,610383,60623,South Lawndale,21,11,22
Infinity Math Science and Technology HS,610384,60623,South Lawndale,21,11,22
Multicultural Acad. of Scholarship,610385,60623,South Lawndale,21,11,22
Peace & Education Coalition HS,610386,60609,New City,6,3,16
Orr Acad. HS,610389,60624,Humboldt Park,10,5,28
Rickover Naval Acad. HS,610390,60660,Edgewater,14,7,48
Lindblom Math & Science Acad. HS,610391,60636,West Englewood,6,3,15
World Language Acad. HS,610392,60623,South Lawndale,21,11,22
Uplift Community HS,610394,60640,Uptown,13,7,46
Tarkington School of Excellence ES,610396,60629,Chicago Lawn,1,1,18
Clemente Achvmt. Acad. HS,610401,60622,West Town,4,2,1
DeVry University Advantage Acad. HS,610402,60618,North Center,11,6,47
Suder Montessori Magnet ES,610405,60612,Near West Side,10,5,2
Collins Acad. HS,610499,60623,North Lawndale,9,5,24
Austin Polytechnical Acad. HS,610501,60644,Austin,8,4,28
Marine Mil. Math and Science Acad.,610502,60612,Near West Side,10,5,2
Frazier Prospective IB Magnet ES,610503,60624,North Lawndale,9,5,24
Thomas Early Childhood Center,610504,60609,Mckinley Park,2,1,11
TEAM Englewood Community Acad. HS,610506,60621,Englewood,5,3,20
Air Force Acad. HS,610513,60609,Armour Square,6,3,11
Disney II Magnet School,610515,60641,Irving Park,40,20,38
VOISE Acad. HS,610518,60644,Austin,8,4,28
LaSalle II Magnet ES,610520,60622,West Town,4,2,1
M. Davis Magnet Elem. Acad.,610521,60636,West Englewood,32,16,15
Edison Park ES,610523,60631,Norwood Park,20,10,41
Alcott HS for the Humanities,610524,60618,North Center,11,6,1
Ogden International HS,610529,60642,West Town,4,2,27
South Shore Fine Arts Acad.,610530,60637,South Shore,26,13,5
Hernandez Middle School for the Advancement of Sci.,610532,60632,Gage Park,22,11,14
Prieto Math and Science,610533,60639,Belmont Cragin,3,2,37
Skinner North,610534,60610,Near North Side,9,5,27
Mason HS,610535,60623,North Lawndale,9,5,24
Camras ES,610539,60634,Belmont Cragin,3,2,30
Lorca ES,610541,60618,Avondale,40,20,30
West Ridge ES,610542,60645,West Ridge,16,8,50
Solorio Acad. HS,610543,60632,Gage Park,22,11,14
Mariano Azuela ES,610544,60629,West Lawn,22,11,13
South Shore International College Prep HS,610547,60649,South Shore,5,3,8
STEM Magnet Acad.,610548,60607,Near West Side,9,5,2
Banner North HS,610550,60614,Lincoln Park,11,6,32
Milburn Alternative ES,610551,60619,Grand Boulevard,34,17,6
Milburn Alternative HS,610552,60619,Grand Boulevard,34,17,6
Summers Alternative HS,610554,60628,Roseland,28,14,9
Banner Acad. West,610555,60639,Austin,8,4,37
Banner Acad. South,610556,60617,South Deering,33,17,7
Pathways in Education,610557,60652,Ashburn,31,16,18
Sarah E. Goode STEM Academy,610558,60652,Ashburn,32,16,18
James Shields Middle School,610559,60632,Brighton Park,1,1,14
Beacon Therapeutic ES,800002,60643,Beverly,35,18,19
Jewish Child Family Therapeutic ES,800010,60645,West Ridge,16,8,50
South Central Therapeutic ES,800013,60649,South Shore,25,13,7
UCAN Therapeutic ES,800015,60618,Irving Park,40,20,33
Chicago Collegiate Charter School,400161,60628,West Pullman,29,15,9
Christopher House Charter School,400159,60639,Belmont Cragin,3,2,37
Intrinsic School,400162,60602,Loop,5,3,42
LEARN Charter School - 7th Campus,400151,60612,East Garfield Park,10,5,27
LEARN Charter School - 8th Campus,400165,60612,East Garfield Park,10,5,27
Noble St. - Butler College Prep,400156,60628,Pullman,34,17,9
Noble St. - Baker College Prep,400157,60617,South Chicago,26,13,7
Instituto Justice and Leadership Academy Charter School - Instituto Justice and Leadership Alternative Charter,400164,60608,Lower West Side,9,5,25
